"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-06 00:00:28","14.82","71.5","951.72","3640","0","-22.822267532348633","-47.065670013427734","606","-81","13.300000190734863","5","9508","1780714828821"
"2","2026-06-06 00:01:28","14.82","71.5","951.6800000000001","3620","0","-22.82225227355957","-47.065670013427734","621.7","-82","13.300000190734863","5","9509","1780714888802"
"3","2026-06-06 00:02:28","14.8","71.5","951.7","3640","0","-22.822237014770508","-47.06565856933594","606.5","-80","13","5","9510","1780714948810"
"4","2026-06-06 00:03:28","14.8","71.5","951.6","3680","0","-22.822254180908203","-47.065670013427734","613.2","-81","13","5","9511","1780715008784"
"5","2026-06-06 00:04:28","14.78","71.5","951.5600000000001","3640","0","-22.822229385375977","-47.06563186645508","615.7","-81","13.300000190734863","5","9512","1780715068811"
"6","2026-06-06 00:05:28","14.79","71.5","951.6","3680","0","-22.82220458984375","-47.06564712524414","618.7","-80","13.300000190734863","5","9513","1780715128810"
"7","2026-06-06 00:06:28","14.78","71.5","951.62","3620","0","-22.822233200073242","-47.06563949584961","630.2","-80","11.5","5","9514","1780715188811"
"8","2026-06-06 00:07:28","14.77","72","951.6","3640","0","-22.82224464416504","-47.065670013427734","618","-80","13","5","9515","1780715248817"
"9","2026-06-06 00:08:28","14.77","71.5","951.52","3620","0","-22.822235107421875","-47.06566619873047","621.5","-80","12.300000190734863","5","9516","1780715308815"
"10","2026-06-06 00:09:28","14.77","71.5","951.5","3620","0","-22.822256088256836","-47.06566619873047","609.2","-82","13.300000190734863","5","9517","1780715368819"
"11","2026-06-06 00:10:28","14.76","71.5","951.48","3680","0","-22.822250366210938","-47.06564712524414","617.4000000000001","-81","13.300000190734863","5","9518","1780715428812"
"12","2026-06-06 00:11:28","14.75","72","951.44","3620","0","-22.822235107421875","-47.06566619873047","612","-80","13.800000190734863","5","9519","1780715488810"
