"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-07 00:00:28","11.67","58.5","949.1800000000001","3700","0","-22.82221794128418","-47.06563186645508","615","-79","13.800000190734863","5","10948","1780801228813"
"2","2026-06-07 00:01:28","11.65","58.5","949.2","3620","0","-22.822189331054688","-47.065643310546875","620.2","-79","13.800000190734863","5","10949","1780801288806"
"3","2026-06-07 00:02:28","11.64","58.5","949.14","3640","0","-22.822227478027344","-47.06564712524414","626.5","-79","13.5","5","10950","1780801348794"
"4","2026-06-07 00:03:28","11.63","58.5","949.16","3640","0","-22.822219848632812","-47.06566619873047","620.5","-79","13.5","5","10951","1780801408819"
"5","2026-06-07 00:04:28","11.62","58.5","949.12","3640","0","-22.82220458984375","-47.06565856933594","621.2","-79","13.300000190734863","5","10952","1780801468819"
"6","2026-06-07 00:05:28","11.61","59","949.12","3640","0","-22.82223892211914","-47.065673828125","606.5","-79","13.800000190734863","5","10953","1780801528843"
"7","2026-06-07 00:06:28","11.59","59","949.1","3620","0","-22.822229385375977","-47.065643310546875","616.2","-79","13.5","5","10954","1780801588813"
"8","2026-06-07 00:07:28","11.58","59","949.12","3640","0","-22.822229385375977","-47.0656623840332","609.2","-79","13.5","5","10955","1780801648788"
"9","2026-06-07 00:08:28","11.57","59","949.1","3640","0","-22.82223892211914","-47.065673828125","609.5","-79","13.5","5","10956","1780801708805"
"10","2026-06-07 00:09:28","11.56","59","949.1","3660","0","-22.82227325439453","-47.065673828125","605.7","-79","13.300000190734863","5","10957","1780801768816"
"11","2026-06-07 00:10:28","11.56","59","949.0600000000001","3620","0","-22.8222599029541","-47.06568908691406","596.2","-79","13.800000190734863","5","10958","1780801828816"
"12","2026-06-07 00:11:28","11.54","59","949.08","3640","0","-22.822227478027344","-47.065677642822266","601","-79","13.5","5","10959","1780801888811"
"13","2026-06-07 00:12:28","11.54","59","949.04","3620","0","-22.822206497192383","-47.06566619873047","614","-79","13.5","5","10960","1780801948805"
"14","2026-06-07 00:13:28","11.53","59","949.04","3620","0","-22.82221221923828","-47.06565856933594","619","-79","13.5","5","10961","1780802008799"
"15","2026-06-07 00:14:28","11.52","59","949.02","3640","0","-22.822200775146484","-47.06566619873047","616.2","-79","13.800000190734863","5","10962","1780802068799"
"16","2026-06-07 00:15:28","11.5","59","948.98","3600","0","-22.822174072265625","-47.06565856933594","614.7","-79","13.800000190734863","5","10963","1780802128806"
"17","2026-06-07 00:16:28","11.5","59","948.94","3640","0","-22.822240829467773","-47.065673828125","606","-79","14","5","10964","1780802188819"
"18","2026-06-07 00:17:28","11.49","59","948.98","3640","0","-22.822229385375977","-47.0656852722168","610.7","-79","13.5","5","10965","1780802248811"
"19","2026-06-07 00:18:28","11.48","59","948.94","3620","0","-22.822233200073242","-47.065670013427734","615.9000000000001","-80","13.800000190734863","5","10966","1780802308803"
"20","2026-06-07 00:19:28","11.47","59","949","3620","0","-22.822235107421875","-47.06565475463867","615","-80","13","5","10967","1780802368815"
"21","2026-06-07 00:20:28","11.47","59","949","3600","0","-22.82225227355957","-47.065670013427734","610.5","-80","13.300000190734863","5","10968","1780802428808"
"22","2026-06-07 00:21:28","11.47","59.5","948.96","3680","0","-22.822265625","-47.06569290161133","609","-80","13.800000190734863","5","10969","1780802488809"
"23","2026-06-07 00:22:28","11.47","59.5","948.98","3620","0","-22.822221755981445","-47.065696716308594","605.5","-79","13.5","5","10970","1780802548813"
"24","2026-06-07 00:23:28","11.47","59.5","948.96","3640","0","-22.82221031188965","-47.06569290161133","615.2","-79","13.5","5","10971","1780802608814"
"25","2026-06-07 00:24:28","11.47","59.5","948.9","3640","0","-22.82222557067871","-47.06564712524414","610","-79","13.5","5","10972","1780802668815"
"26","2026-06-07 00:25:28","11.47","59.5","948.94","3600","0","-22.822235107421875","-47.0656623840332","604.7","-79","13.300000190734863","5","10973","1780802728813"
"27","2026-06-07 00:26:28","11.47","59.5","948.94","3620","0","-22.822223663330078","-47.0656623840332","613.5","-79","14","5","10974","1780802788809"
"28","2026-06-07 00:27:28","11.47","59.5","948.94","3660","0","-22.822221755981445","-47.065670013427734","607","-79","13.300000190734863","5","10975","1780802848805"
"29","2026-06-07 00:28:28","11.47","59.5","948.98","3600","0","-22.8222599029541","-47.06568908691406","605.5","-79","13.5","5","10976","1780802908779"
"30","2026-06-07 00:29:28","11.46","59.5","948.9200000000001","3600","0","-22.822298049926758","-47.06570053100586","600.2","-79","13.5","5","10977","1780802968813"
"31","2026-06-07 00:30:28","11.45","59.5","948.9200000000001","3640","0","-22.822237014770508","-47.06566619873047","613.7","-79","13.800000190734863","5","10978","1780803028820"
"32","2026-06-07 00:31:28","11.44","59.5","948.9200000000001","3620","0","-22.822240829467773","-47.0656623840332","617","-79","13.800000190734863","5","10979","1780803088814"
"33","2026-06-07 00:32:28","11.43","59.5","948.9200000000001","3620","0","-22.822240829467773","-47.06562805175781","618.4000000000001","-79","13.300000190734863","5","10980","1780803148805"
"34","2026-06-07 00:33:28","11.42","59.5","948.9","3600","0","-22.822246551513672","-47.06563186645508","620.7","-79","13.300000190734863","5","10981","1780803208831"
"35","2026-06-07 00:34:28","11.41","59.5","948.9","3620","0","-22.822233200073242","-47.06555938720703","629.9000000000001","-79","13.800000190734863","5","10982","1780803268777"
"36","2026-06-07 00:35:28","11.39","59.5","948.88","3620","0","-22.82222557067871","-47.065650939941406","612","-79","13.5","5","10983","1780803328779"
